family,instance_index,name,rows,cols,playable,model,backend,config,vars,constraints,nonzeros,build_ms,solve_ms,engine_ms,total_ms,build_samples_ms,solve_samples_ms,engine_samples_ms,total_samples_ms,result,geometry_valid,cnf_valid,repetitions,statuses
hf,1,hf_1,12,12,80,cnf,cadical195,our-cadical,864,8160,21024,11.808800,0.677400,0.070800,12.469600,"[15.1521, 11.7922, 11.8088]","[0.7353, 0.6774, 0.6247]","[0.0801, 0.0708, 0.0631]","[15.8874, 12.4696, 12.4335]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,1,hf_1,12,12,80,ip-a-f,scip,demaine-scip,400,2178,6912,37.294400,12.762400,12.500300,46.058900,"[32.3325, 37.2944, 47.7429]","[12.7624, 8.7645, 19.9541]","[12.5003, 8.4947, 19.711]","[45.0949, 46.0589, 67.697]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,2,hf_2,12,12,87,cnf,cadical195,our-cadical,864,8136,20848,11.368400,0.829400,0.283300,12.181800,"[11.3684, 11.4762, 11.1705]","[0.8134, 0.8294, 0.8827]","[0.2827, 0.2833, 0.3188]","[12.1818, 12.3056, 12.0532]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,2,hf_2,12,12,87,ip-a-f,scip,demaine-scip,435,2491,8344,43.401500,43.598600,43.322800,87.000100,"[43.4015, 45.4173, 42.0657]","[43.5986, 45.5147, 42.8606]","[43.3228, 45.2331, 42.5934]","[87.0001, 90.932, 84.9263]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,3,hf_3,12,12,84,cnf,cadical195,our-cadical,864,8141,20960,12.685300,0.692000,0.089700,13.377300,"[13.0397, 12.6853, 12.0457]","[0.7845, 0.692, 0.6252]","[0.1289, 0.0897, 0.076]","[13.8242, 13.3773, 12.6709]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,3,hf_3,12,12,84,ip-a-f,scip,demaine-scip,420,2366,7725,77.087900,19.168600,18.826800,96.256500,"[58.9552, 77.0879, 98.0339]","[23.3462, 19.1686, 15.5161]","[23.0582, 18.8268, 15.2388]","[82.3014, 96.2565, 113.55]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,4,hf_4,12,12,84,cnf,cadical195,our-cadical,864,8175,21152,11.846000,0.675600,0.081600,12.498300,"[11.846, 11.701, 12.5362]","[0.6523, 0.6756, 0.7481]","[0.0732, 0.0816, 0.1036]","[12.4983, 12.3766, 13.2843]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,4,hf_4,12,12,84,ip-a-f,scip,demaine-scip,420,2388,8040,55.652700,17.543900,15.252900,86.748700,"[50.6112, 55.6527, 69.2048]","[13.0071, 31.9656, 17.5439]","[12.7453, 31.5114, 15.2529]","[63.6183, 87.6183, 86.7487]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,5,hf_5,12,12,94,cnf,cadical195,our-cadical,864,8104,20512,12.346300,0.694200,0.064100,13.040500,"[12.4367, 12.3463, 11.4302]","[0.7398, 0.6942, 0.6128]","[0.0812, 0.0641, 0.0545]","[13.1765, 13.0405, 12.043]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,5,hf_5,12,12,94,ip-a-f,scip,demaine-scip,470,2792,9782,53.315400,17.696800,17.398900,71.012200,"[45.7602, 53.3154, 55.2454]","[16.206, 17.6968, 22.7333]","[15.9262, 17.3989, 22.2551]","[61.9662, 71.0122, 77.9787]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
