family,instance_index,name,rows,cols,playable,model,backend,config,vars,constraints,nonzeros,build_ms,solve_ms,engine_ms,total_ms,build_samples_ms,solve_samples_ms,engine_samples_ms,total_samples_ms,result,geometry_valid,cnf_valid,repetitions,statuses
artificial,1,artificial_n=5,12,12,60,cnf,cadical195,our-cadical,864,8208,21616,12.134300,0.701700,0.052400,12.836000,"[15.3979, 12.1343, 11.7379]","[0.7207, 0.7017, 0.6821]","[0.0567, 0.0494, 0.0524]","[16.1186, 12.836, 12.42]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,1,artificial_n=5,12,12,60,ip-a-f,scip,demaine-scip,300,1732,5744,43.296700,15.910600,14.814400,59.536600,"[34.5591, 43.626, 43.2967]","[13.9596, 15.9106, 19.3021]","[13.7423, 14.8144, 19.0809]","[48.5187, 59.5366, 62.5988]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,2,artificial_n=10,22,22,220,cnf,cadical195,our-cadical,2904,28508,74596,41.149500,1.809600,0.113100,42.875400,"[41.1495, 45.3421, 41.0105]","[1.6593, 1.8096, 1.8649]","[0.1131, 0.1119, 0.1348]","[42.8088, 47.1517, 42.8754]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,2,artificial_n=10,22,22,220,ip-a-f,scip,demaine-scip,1100,8672,36404,275.629600,123.703500,122.978700,363.604000,"[347.5368, 275.6296, 223.3271]","[123.7035, 79.3207, 140.2769]","[122.9787, 78.5661, 139.0383]","[471.2403, 354.9503, 363.604]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,3,artificial_n=15,32,32,480,cnf,cadical195,our-cadical,6144,61008,158976,96.684900,3.514000,0.233700,100.119500,"[247.5022, 96.6849, 90.498]","[4.2283, 3.4346, 3.514]","[0.3096, 0.2337, 0.2271]","[251.7305, 100.1195, 94.012]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,3,artificial_n=15,32,32,480,ip-a-f,scip,demaine-scip,2400,23812,126964,466.147300,241.387000,239.136300,707.534300,"[585.1532, 417.4492, 466.1473]","[294.107, 224.6479, 241.387]","[292.5356, 219.5284, 239.1363]","[879.2602, 642.0971, 707.5343]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,4,artificial_n=20,42,42,840,cnf,cadical195,our-cadical,10584,105708,274756,199.325500,5.942000,0.403100,205.267500,"[299.407, 199.3255, 178.0825]","[6.0453, 5.942, 5.8351]","[0.3996, 0.4031, 0.4299]","[305.4523, 205.2675, 183.9176]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,4,artificial_n=20,42,42,840,ip-a-f,scip,demaine-scip,4200,50152,332424,1092.337100,572.612300,569.694500,1648.531000,"[939.6622, 1092.3371, 1104.2487]","[572.6123, 556.1939, 584.5506]","[569.6945, 553.2331, 580.981]","[1512.2745, 1648.531, 1688.7993]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,5,artificial_n=25,52,52,1300,cnf,cadical195,our-cadical,16224,162608,421936,367.106300,8.787300,0.696600,375.893600,"[367.1063, 437.3649, 305.5242]","[8.7873, 9.9917, 8.7797]","[0.6966, 0.7485, 0.6158]","[375.8936, 447.3566, 314.3039]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,5,artificial_n=25,52,52,1300,ip-a-f,scip,demaine-scip,6500,90692,727784,2124.226600,1162.835000,1157.681000,3287.061600,"[2211.7337, 1983.6675, 2124.2266]","[1322.4615, 1156.0309, 1162.835]","[1317.7653, 1151.5009, 1157.681]","[3534.1952, 3139.6984, 3287.0616]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
