family,instance_index,name,rows,cols,playable,formulation,backend,config,vars,constraints,nonzeros,build_ms,solve_ms,engine_ms,total_ms,build_samples_ms,solve_samples_ms,engine_samples_ms,total_samples_ms,result,geometry_valid,cnf_valid,repetitions,statuses
hf,1,hf_1,12,12,80,ours-cnf,cadical195,our-cadical,864,8160,21024,11.808800,0.677400,0.070800,12.469600,"[15.1521, 11.7922, 11.8088]","[0.7353, 0.6774, 0.6247]","[0.0801, 0.0708, 0.0631]","[15.8874, 12.4696, 12.4335]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,1,hf_1,12,12,80,ours-cnf,cp-sat,our-cpsat,864,8160,21024,91.121500,15.108600,13.728800,106.230100,"[91.1215, 91.6392, 89.4729]","[15.1086, 15.0459, 16.2867]","[13.7288, 13.5302, 14.8545]","[106.2301, 106.6851, 105.7596]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,1,hf_1,12,12,80,ours-cnf,scip,our-scip,864,8160,21024,128.856800,61.653600,61.045200,181.447700,"[116.3164, 149.0938, 128.8568]","[65.1313, 61.6536, 44.8873]","[64.4349, 61.0452, 44.3333]","[181.4477, 210.7474, 173.7441]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,1,hf_1,12,12,80,demaine-a-f,cadical195,demaine-cadical,400,3154,9036,7.582500,0.533100,0.049400,8.079700,"[7.5462, 10.1594, 7.5825]","[0.5335, 0.5331, 0.4916]","[0.0547, 0.0494, 0.042]","[8.0797, 10.6925, 8.0741]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,1,hf_1,12,12,80,demaine-a-f,scip,demaine-scip,400,2178,6912,37.294400,12.762400,12.500300,46.058900,"[32.3325, 37.2944, 47.7429]","[12.7624, 8.7645, 19.9541]","[12.5003, 8.4947, 19.711]","[45.0949, 46.0589, 67.697]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,1,hf_1,12,12,80,demaine-a-f,cp-sat,demaine-cpsat,400,2178,6912,42.868700,12.099000,11.530500,62.318400,"[50.2194, 42.8612, 42.8687]","[12.099, 21.1429, 11.5022]","[11.5305, 20.4443, 10.851]","[62.3184, 64.0041, 54.3709]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,2,hf_2,12,12,87,ours-cnf,cadical195,our-cadical,864,8136,20848,11.368400,0.829400,0.283300,12.181800,"[11.3684, 11.4762, 11.1705]","[0.8134, 0.8294, 0.8827]","[0.2827, 0.2833, 0.3188]","[12.1818, 12.3056, 12.0532]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,2,hf_2,12,12,87,ours-cnf,cp-sat,our-cpsat,864,8136,20848,107.009100,21.598300,20.244000,128.607400,"[196.4323, 107.0091, 91.959]","[23.1883, 21.5983, 18.4646]","[21.6131, 20.244, 16.9524]","[219.6206, 128.6074, 110.4236]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,2,hf_2,12,12,87,ours-cnf,scip,our-scip,864,8136,20848,134.187500,114.053000,113.481700,280.563300,"[183.7654, 134.1875, 132.1167]","[114.053, 101.691, 148.4466]","[113.4817, 101.1224, 147.7531]","[297.8184, 235.8785, 280.5633]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
hf,2,hf_2,12,12,87,demaine-a-f,cadical195,demaine-cadical,435,3550,10614,8.416400,0.824500,0.279400,9.230400,"[8.3895, 12.1324, 8.4164]","[0.8245, 0.8461, 0.814]","[0.2794, 0.2708, 0.2931]","[9.214, 12.9785, 9.2304]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
hf,2,hf_2,12,12,87,demaine-a-f,scip,demaine-scip,435,2491,8344,43.401500,43.598600,43.322800,87.000100,"[43.4015, 45.4173, 42.0657]","[43.5986, 45.5147, 42.8606]","[43.3228, 45.2331, 42.5934]","[87.0001, 90.932, 84.9263]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
