family,instance_index,name,rows,cols,playable,formulation,backend,config,vars,constraints,nonzeros,build_ms,solve_ms,engine_ms,total_ms,build_samples_ms,solve_samples_ms,engine_samples_ms,total_samples_ms,result,geometry_valid,cnf_valid,repetitions,statuses
artificial,1,artificial_n=5,12,12,60,ours-cnf,cadical195,our-cadical,864,8208,21616,12.134300,0.701700,0.052400,12.836000,"[15.3979, 12.1343, 11.7379]","[0.7207, 0.7017, 0.6821]","[0.0567, 0.0494, 0.0524]","[16.1186, 12.836, 12.42]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,1,artificial_n=5,12,12,60,ours-cnf,cp-sat,our-cpsat,864,8208,21616,87.994600,15.943200,11.476700,102.417500,"[87.9946, 83.5541, 91.3785]","[14.4229, 15.9432, 22.9544]","[13.0256, 11.4767, 10.1564]","[102.4175, 99.4973, 114.3329]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,1,artificial_n=5,12,12,60,ours-cnf,scip,our-scip,864,8208,21616,221.790500,69.708100,69.131100,291.498600,"[233.7818, 171.9114, 221.7905]","[92.1376, 59.5003, 69.7081]","[91.5002, 58.4541, 69.1311]","[325.9194, 231.4117, 291.4986]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,1,artificial_n=5,12,12,60,demaine-a-f,cadical195,demaine-cadical,300,2444,7264,6.355300,0.459200,0.023900,6.794100,"[6.2659, 9.5261, 6.3553]","[0.5282, 0.4592, 0.4325]","[0.0308, 0.0217, 0.0239]","[6.7941, 9.9853, 6.7878]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,1,artificial_n=5,12,12,60,demaine-a-f,scip,demaine-scip,300,1732,5744,43.296700,15.910600,14.814400,59.536600,"[34.5591, 43.626, 43.2967]","[13.9596, 15.9106, 19.3021]","[13.7423, 14.8144, 19.0809]","[48.5187, 59.5366, 62.5988]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,1,artificial_n=5,12,12,60,demaine-a-f,cp-sat,demaine-cpsat,300,1732,5744,40.525000,11.495400,10.251600,50.353900,"[40.525, 36.623, 41.2222]","[9.8289, 12.4734, 11.4954]","[9.3001, 11.6221, 10.2516]","[50.3539, 49.0964, 52.7176]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,2,artificial_n=10,22,22,220,ours-cnf,cadical195,our-cadical,2904,28508,74596,41.149500,1.809600,0.113100,42.875400,"[41.1495, 45.3421, 41.0105]","[1.6593, 1.8096, 1.8649]","[0.1131, 0.1119, 0.1348]","[42.8088, 47.1517, 42.8754]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,2,artificial_n=10,22,22,220,ours-cnf,cp-sat,our-cpsat,2904,28508,74596,412.788600,63.320400,58.775900,472.025600,"[423.7934, 412.7886, 347.6431]","[63.3204, 59.237, 75.0966]","[58.7759, 53.3165, 65.9369]","[487.1138, 472.0256, 422.7397]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,2,artificial_n=10,22,22,220,ours-cnf,scip,our-scip,2904,28508,74596,822.197100,339.553200,334.044800,1142.790500,"[822.1971, 803.2373, 876.2869]","[268.681, 339.5532, 356.8886]","[264.4779, 334.0448, 354.6166]","[1090.8781, 1142.7905, 1233.1755]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
artificial,2,artificial_n=10,22,22,220,demaine-a-f,cadical195,demaine-cadical,1100,11124,41524,27.258900,1.073700,0.056100,28.332600,"[27.2589, 28.492, 27.184]","[1.0737, 1.1107, 1.0373]","[0.0536, 0.0695, 0.0561]","[28.3326, 29.6027, 28.2213]",SAT,OK,OK,3,"[""SAT"", ""SAT"", ""SAT""]"
artificial,2,artificial_n=10,22,22,220,demaine-a-f,scip,demaine-scip,1100,8672,36404,275.629600,123.703500,122.978700,363.604000,"[347.5368, 275.6296, 223.3271]","[123.7035, 79.3207, 140.2769]","[122.9787, 78.5661, 139.0383]","[471.2403, 354.9503, 363.604]",SAT,OK,OK,3,"[""OPTIMAL"", ""OPTIMAL"", ""OPTIMAL""]"
