family,name,rows,cols,playable,sat_vars,sat_clauses,sat_encode_ms,sat_solve_ms,sat_result,ip_vars,ip_conss,ip_nonzeros,ip_build_ms,ip_solve_ms,ip_result,agree,ip_valid
hf,hf_1,12,12,80,864,8160,5.26,4.04,SAT,400,2178,6912,25.52,7.06,SAT,1,True
hf,hf_2,12,12,87,864,8136,5.42,4.04,SAT,435,2491,8344,29.04,18.48,SAT,1,True
hf,hf_3,12,12,84,864,8141,4.90,3.97,SAT,420,2366,7725,26.98,7.65,SAT,1,True
hf,hf_4,12,12,84,864,8175,4.88,4.00,SAT,420,2388,8040,28.02,7.91,SAT,1,True
hf,hf_5,12,12,94,864,8104,4.81,3.97,SAT,470,2792,9782,33.60,8.50,SAT,1,True
hf,hf_6,12,12,84,864,8110,4.87,3.89,SAT,420,2260,6906,26.92,9.12,SAT,1,True
hf,hf_7,12,12,88,864,8106,4.90,3.95,SAT,440,2481,8266,29.00,8.14,SAT,1,True
hf,hf_8,12,12,94,864,8121,5.12,4.41,SAT,470,2786,9778,35.45,52.28,SAT,1,True
hf,hf_9,12,12,84,864,8133,4.87,4.00,SAT,420,2349,7696,27.20,8.37,SAT,1,True
hf,hf_10,12,12,84,864,8155,4.97,4.10,SAT,420,2368,7710,29.02,8.11,SAT,1,True
hf,hf_11,12,12,84,864,8151,4.94,4.15,SAT,420,2364,7770,28.34,9.99,SAT,1,True
hf,hf_12,12,12,86,864,8139,5.07,4.18,SAT,430,2477,8352,28.74,11.48,SAT,1,True
hf,hf_13,12,12,86,864,8143,5.14,4.15,SAT,430,2465,8274,29.04,8.54,SAT,1,True
hf,hf_14,12,12,85,864,8156,5.07,4.22,SAT,425,2385,7873,27.58,10.75,SAT,1,True
hf,hf_15,12,12,84,864,8144,4.91,3.88,SAT,420,2383,7840,27.90,8.22,SAT,1,True
hf,hf_16,12,12,86,864,8175,4.97,3.98,SAT,430,2439,8083,27.82,8.01,SAT,1,True
hf,hf_17,12,12,86,864,8158,5.39,4.06,SAT,430,2467,8241,28.68,8.62,SAT,1,True
hf,hf_18,12,12,85,864,8120,4.86,4.22,SAT,425,2393,7771,27.60,7.57,SAT,1,True
hf,hf_19,12,12,87,864,8145,4.92,3.98,SAT,435,2522,8491,28.71,8.48,SAT,1,True
hf,hf_20,12,12,87,864,8144,5.13,4.18,SAT,435,2512,8467,29.33,12.76,SAT,1,True
hf,hf_21,12,12,88,864,8139,5.01,4.06,SAT,440,2512,8431,29.61,33.37,SAT,1,True
hf,hf_22,12,12,86,864,8155,4.97,4.06,SAT,430,2448,8129,28.57,11.58,SAT,1,True
hf,hf_23,12,12,86,864,8155,5.07,3.99,SAT,430,2461,8236,28.29,8.25,SAT,1,True
hf,hf_24,12,12,89,864,8127,5.10,3.97,SAT,445,2588,8786,30.10,8.03,SAT,1,True
hf,hf_25,12,12,84,864,8140,5.04,4.14,SAT,420,2366,7726,27.65,16.23,SAT,1,True
hf,hf_26,15,19,199,1710,16510,10.82,8.87,SAT,995,6980,27687,84.90,104.81,SAT,1,True
hf,hf_27,12,12,88,864,8155,5.26,4.10,SAT,440,2583,8892,30.44,8.87,SAT,1,True
hf,hf_28,15,20,212,1800,17408,11.03,9.18,SAT,1060,7555,30333,97.31,185.20,SAT,1,True
hf,hf_29,15,20,212,1800,17408,11.20,9.45,SAT,1060,7555,30333,94.83,193.84,SAT,1,True
hf,hf_30,12,12,83,864,8146,5.24,4.24,SAT,415,2361,7812,27.81,8.07,SAT,1,True
hf,hf_31,12,12,83,864,8155,5.20,3.97,SAT,415,2315,7480,27.14,7.33,SAT,1,True
hf,hf_32,12,12,82,864,8178,5.63,4.12,SAT,410,2307,7505,26.40,7.87,SAT,1,True
hf,hf_33,12,12,85,864,8160,5.06,4.05,SAT,425,2428,8105,32.68,8.48,SAT,1,True
hf,hf_34,12,12,88,864,8134,5.20,4.18,SAT,440,2512,8365,30.97,8.84,SAT,1,True
hf,hf_35,12,12,86,864,8153,5.30,4.16,SAT,430,2448,8225,30.22,9.01,SAT,1,True
hf,hf_36,12,12,83,864,8146,5.36,4.23,SAT,415,2320,7529,27.73,7.94,SAT,1,True
hf,hf_37,12,12,86,864,8144,5.22,4.19,SAT,430,2499,8417,28.93,8.18,SAT,1,True
hf,hf_38,8,8,32,384,3468,2.15,2.00,SAT,160,742,2160,8.37,2.58,SAT,1,True
hf,hf_39,12,12,83,864,8158,5.03,4.11,SAT,415,2338,7645,27.27,7.07,SAT,1,True
hf,hf_40,12,12,86,864,8157,5.40,4.34,SAT,430,2438,8038,28.05,31.84,SAT,1,True
hf,hf_41,12,12,85,864,8167,5.12,4.11,SAT,425,2427,8063,28.46,9.30,SAT,1,True
hf,hf_42,12,12,86,864,8155,5.11,3.97,SAT,430,2454,8208,29.88,11.78,SAT,1,True
hf,hf_43,12,12,87,864,8141,5.17,4.14,SAT,435,2477,8187,28.83,8.77,SAT,1,True
hf,hf_44,12,12,87,864,8132,4.97,4.07,SAT,435,2514,8478,29.67,8.87,SAT,1,True
hf,hf_45,12,12,88,864,8130,5.19,4.12,SAT,440,2525,8535,29.60,8.29,SAT,1,True
hf,hf_46,12,12,84,864,8168,6.68,4.31,SAT,420,2388,7865,28.15,16.38,SAT,1,True
hf,hf_47,12,12,85,864,8157,5.09,4.16,SAT,425,2415,7981,28.58,7.41,SAT,1,True
hf,hf_48,15,22,230,1980,19207,12.33,9.36,SAT,1150,8211,33026,99.52,93.48,SAT,1,True
hf,hf_49,16,21,233,2016,19555,13.37,10.43,SAT,1165,8455,34734,107.95,101.69,SAT,1,True
hf,hf_50,12,12,86,864,8152,5.37,4.30,SAT,430,2468,8283,29.54,8.94,SAT,1,True
hf,hf_51,12,12,86,864,8132,5.36,4.15,SAT,430,2471,8278,29.18,9.59,SAT,1,True
hf,hf_52,16,21,239,2016,19569,13.12,11.00,SAT,1195,8779,36410,109.00,243.30,SAT,1,True
hf,hf_53,16,21,240,2016,19535,13.64,10.37,SAT,1200,8781,36322,115.74,104.75,SAT,1,True
hf,hf_54,12,12,89,864,8149,5.46,4.54,SAT,445,2587,8870,30.30,8.77,SAT,1,True
hf,hf_55,17,20,244,2040,19808,12.48,10.32,SAT,1220,9050,37869,113.70,98.41,SAT,1,True
hf,hf_56,12,12,88,864,8143,5.17,4.32,SAT,440,2543,8604,31.77,8.95,SAT,1,True
hf,hf_57,16,21,238,2016,19528,11.84,10.34,SAT,1190,8700,35858,107.46,69.01,SAT,1,True
hf,hf_58,12,12,88,864,8155,5.19,4.15,SAT,440,2562,8701,29.77,8.10,SAT,1,True
hf,hf_59,16,21,238,2016,19528,13.10,9.40,SAT,1190,8700,35858,104.36,68.75,SAT,1,True
hf,hf_60,14,20,194,1680,16196,10.92,8.42,SAT,970,6653,25758,81.08,171.40,SAT,1,True
hf,hf_61,12,12,88,864,8138,5.31,4.35,SAT,440,2550,8649,30.06,8.89,SAT,1,True
hf,hf_62,16,24,277,2304,22417,15.65,11.44,SAT,1385,10467,44330,129.85,123.51,SAT,1,True
hf,hf_63,12,12,88,864,8133,5.12,4.07,SAT,440,2561,8703,29.83,8.64,SAT,1,True
hf,hf_64,12,12,86,864,8140,5.32,4.09,SAT,430,2480,8368,29.26,40.30,SAT,1,True
hf,hf_65,12,12,88,864,8137,5.02,4.12,SAT,440,2546,8585,29.74,10.36,SAT,1,True
hf,hf_66,12,12,87,864,8142,5.45,4.16,SAT,435,2487,8293,29.17,12.90,SAT,1,True
hf,hf_67,12,12,88,864,8135,5.81,4.33,SAT,440,2563,8763,30.32,8.87,SAT,1,True
hf,hf_68,12,12,87,864,8158,5.04,3.99,SAT,435,2502,8357,27.89,25.45,SAT,1,True
hf,hf_69,12,12,84,864,8156,5.41,4.11,SAT,420,2393,7926,28.23,8.38,SAT,1,True
hf,hf_70,12,12,84,864,8163,5.07,4.14,SAT,420,2411,8036,29.08,8.03,SAT,1,True
hf,hf_71,12,12,88,864,8156,5.10,4.07,SAT,440,2550,8629,30.04,8.73,SAT,1,True
hf,hf_72,12,12,91,864,8147,5.32,4.22,SAT,455,2658,9119,30.78,33.54,SAT,1,True
hf,hf_73,12,12,91,864,8146,5.25,4.07,SAT,455,2654,9065,31.07,12.47,SAT,1,True
hf,hf_74,12,12,87,864,8154,5.22,4.08,SAT,435,2493,8346,29.02,8.30,SAT,1,True
hf,hf_75,11,11,68,726,6803,4.29,3.43,SAT,340,1845,5936,21.85,27.59,SAT,1,True
hf,hf_76,12,12,86,864,8146,5.11,4.29,SAT,430,2453,8112,28.84,13.54,SAT,1,True
hf,hf_77,13,13,108,1014,9611,6.03,5.18,SAT,540,3177,10904,37.44,58.97,SAT,1,True
hf,hf_78,12,12,86,864,8143,5.14,3.99,SAT,430,2445,8107,29.03,7.35,SAT,1,True
hf,hf_79,12,12,89,864,8153,5.19,4.10,SAT,445,2591,8798,30.17,11.11,SAT,1,True
hf,hf_80,12,12,86,864,8147,5.29,4.14,SAT,430,2423,7906,28.10,17.71,SAT,1,True
hf,hf_81,12,12,87,864,8147,5.43,3.99,SAT,435,2476,8198,29.03,8.63,SAT,1,True
hf,hf_82,12,12,88,864,8148,5.07,4.09,SAT,440,2525,8485,29.55,8.44,SAT,1,True
hf,hf_83,12,12,88,864,8139,5.23,4.14,SAT,440,2545,8664,29.79,7.74,SAT,1,True
hf,hf_84,12,12,88,864,8149,5.10,3.91,SAT,440,2506,8286,29.16,10.09,SAT,1,True
hf,hf_85,12,12,85,864,8161,5.22,4.09,SAT,425,2418,8034,28.65,9.26,SAT,1,True
hf,hf_86,12,12,87,864,8160,5.21,4.13,SAT,435,2494,8366,30.00,17.49,SAT,1,True
hf,hf_87,12,12,83,864,8176,5.28,4.25,SAT,415,2342,7700,30.58,8.95,SAT,1,True
hf,hf_88,12,12,88,864,8151,5.57,4.28,SAT,440,2572,8823,31.47,14.79,SAT,1,True
hf,hf_89,12,12,87,864,8131,5.15,4.00,SAT,435,2488,8375,28.94,7.89,SAT,1,True
hf,hf_90,12,12,88,864,8138,5.12,4.28,SAT,440,2550,8603,30.15,9.41,SAT,1,True
hf,hf_91,12,12,89,864,8148,5.60,4.34,SAT,445,2609,8934,30.47,8.62,SAT,1,True
hf,hf_92,12,12,88,864,8133,5.65,4.02,SAT,440,2528,8515,31.08,8.73,SAT,1,True
hf,hf_93,12,12,88,864,8144,5.19,4.09,SAT,440,2513,8330,28.45,31.26,SAT,1,True
hf,hf_94,12,12,87,864,8152,5.14,3.96,SAT,435,2515,8501,29.75,8.50,SAT,1,True
hf,hf_95,12,12,85,864,8175,5.16,4.04,SAT,425,2442,8215,29.41,8.42,SAT,1,True
