n,grid,playable,sat_vars,sat_clauses,sat_encode_ms,sat_solve_ms,sat_result,ip_vars,ip_conss,ip_nonzeros,ip_build_ms,ip_solve_ms,ip_result,sat_valid,ip_valid
5,12x12,60,864,8208,6.0,4.4,SAT,300,1732,5744,27.1,7.3,SAT,OK,OK
10,22x22,220,2904,28508,21.4,14.4,SAT,1100,8672,36404,124.1,35.1,SAT,OK,OK
15,32x32,480,6144,61008,50.4,30.1,SAT,2400,23812,126964,372.3,138.8,SAT,OK,OK
20,42x42,840,10584,105708,84.8,47.8,SAT,4200,50152,332424,777.8,307.1,SAT,OK,OK
25,52x52,1300,16224,162608,159.2,86.6,SAT,6500,90692,727784,1617.4,664.7,SAT,OK,OK
30,62x62,1860,23064,231708,223.3,106.0,SAT,9300,148432,1408044,2865.0,1271.2,SAT,OK,OK
40,82x82,3280,40344,406508,545.7,230.5,SAT,16400,327512,4103264,8413.7,3178.3,SAT,OK,OK
50,102x102,5100,62424,630108,695.6,344.6,SAT,25500,611392,9578084,16353.6,9057.3,SAT,OK,OK
60,122x122,7320,89304,902508,1081.1,462.9,SAT,36600,1024072,19312504,30096.2,25553.1,SAT,OK,OK
80,162x162,12960,157464,1593708,2222.9,830.0,SAT,,,,,,,OK,
100,202x202,20200,244824
